motif_name,motif_idx,sequence_name,start,end,strand,score,p-value,q-value,test_idx
pos_patterns.pattern_1,1,0,94,120,+,16.508947901384378,1.6073529885765616e-06,7.414456435918383e-06,13521
pos_patterns.pattern_3,3,0,149,175,-,15.648177308520857,3.5882859911705265e-06,4.7455551904171465e-05,13521
pos_patterns.pattern_2,2,1,120,132,-,11.514114518778154,6.912772856921325e-05,0.00021146553188298702,19552
pos_patterns.pattern_0,0,1,33,43,-,8.982918063046966,0.0003095935908277165,0.0004760066406085222,19552
pos_patterns.pattern_2,2,1,54,80,+,8.728441161342401,0.0002631464723266638,0.00045912756511486087,19552
pos_patterns.pattern_1,1,2,100,110,+,18.95679602400918,2.2680944476369266e-07,2.591443297094909e-06,3844
pos_patterns.pattern_1,1,2,135,145,+,13.797021056006257,9.769033997023691e-06,2.8714258239272878e-05,3844
pos_patterns.pattern_1,1,2,177,189,-,8.64294263904687,0.0001367845715134798,0.0002483749187710131,3844
pos_patterns.pattern_2,2,3,35,48,-,12.225291165075198,4.486232985430502e-05,0.00016678483395595695,51146
pos_patterns.pattern_0,0,3,19,29,-,6.982749733336474,0.0006636004554820821,0.0007634857770015416,51146
pos_patterns.pattern_1,1,4,135,145,+,11.563388528770782,3.3367437515870085e-05,7.680025907578381e-05,118123
pos_patterns.pattern_0,0,4,13,38,+,6.308481979455543,0.0008166900033756965,0.0008708734605334788,118123
pos_patterns.pattern_1,1,5,42,55,-,18.545213164152994,3.3037360636783927e-07,3.0927411554098567e-06,38007
pos_patterns.pattern_0,0,6,223,234,-,13.990924318031666,1.2914289982290952e-05,9.743451959580222e-05,271183
pos_patterns.pattern_0,0,6,150,176,-,11.825495550389505,6.0465627029771e-05,0.00017498468688714866,271183
pos_patterns.pattern_0,0,6,192,200,+,10.624724156864099,0.00012638614316529118,0.0002774783759394085,271183
pos_patterns.pattern_4,4,7,22,39,+,10.355604945512336,5.941942050252343e-05,0.00014683032405986336,72232
pos_patterns.pattern_0,0,7,59,70,-,9.036511644059022,0.00029602724498545237,0.00046246594935242535,72232
pos_patterns.pattern_0,0,7,208,216,+,8.494112904218367,0.00038196472905838093,0.0005363564281697825,72232
pos_patterns.pattern_0,0,7,228,241,+,6.408671993344317,0.0007891790792200473,0.0008514477515205524,72232
pos_patterns.pattern_2,2,8,80,93,-,13.808526811296792,1.3488847543306235e-05,9.615444533164193e-05,66972
pos_patterns.pattern_0,0,8,38,59,-,13.724274640479464,1.571869961480843e-05,0.00010141249560338678,66972
pos_patterns.pattern_3,3,10,105,118,+,15.227058630588875,4.686168195968701e-06,5.77427359171558e-05,2905
pos_patterns.pattern_3,3,10,128,140,+,14.834931156624057,6.061952769408405e-06,6.730766020011266e-05,2905
pos_patterns.pattern_0,0,10,154,165,+,7.568121100678159,0.0005361482235457511,0.0006576737868398818,2905
pos_patterns.pattern_3,3,11,89,130,-,14.161636622302849,9.320251437865463e-06,8.703495427744237e-05,218918
pos_patterns.pattern_0,0,11,171,182,-,13.703337321007968,1.571869961480843e-05,0.00010141249560338678,218918
pos_patterns.pattern_0,0,12,10,36,-,11.450761850662236,7.770328193146262e-05,0.0002023187767058345,94207
pos_patterns.pattern_1,1,13,113,123,+,14.607310721783286,5.650369707326646e-06,1.8930862718682354e-05,207374
pos_patterns.pattern_1,1,13,191,201,-,13.056139313415404,1.4685342260949126e-05,3.990114946023738e-05,207374
pos_patterns.pattern_1,1,14,226,237,+,16.053637444564487,2.2737951602402875e-06,9.504719731736136e-06,18085
pos_patterns.pattern_0,0,14,10,21,-,14.319484818765993,8.122298822854659e-06,9.5291060211645e-05,18085
pos_patterns.pattern_0,0,14,32,42,+,9.11409863021601,0.00028276149805606067,0.00044929372820453847,18085
pos_patterns.pattern_2,2,15,140,164,-,12.61151755054056,3.422117314978019e-05,0.00013994658703883793,217416
pos_patterns.pattern_4,4,15,115,125,-,5.740340683577288,0.0003211181832733604,0.0005390198076374264,217416
pos_patterns.pattern_3,3,16,90,117,-,16.136983316044365,2.5323071571213204e-06,3.8650198663978576e-05,204547
pos_patterns.pattern_1,1,16,36,46,+,10.80894403130377,4.7817651855932316e-05,0.00010455125449952632,204547
pos_patterns.pattern_0,0,17,207,226,+,14.58154112024527,6.173011570354011e-06,9.5291060211645e-05,223697
pos_patterns.pattern_2,2,17,144,155,+,13.614231361291735,1.5964739314145787e-05,9.767403501646675e-05,223697
pos_patterns.pattern_3,3,18,147,157,-,17.733819511272188,7.252166316206616e-07,1.8692828688508073e-05,19026
pos_patterns.pattern_1,1,18,120,138,+,16.542354079049392,1.6073529885765616e-06,7.414456435918383e-06,19026
pos_patterns.pattern_3,3,18,170,179,-,14.391542121230984,8.262620969853842e-06,8.012046284011825e-05,19026
pos_patterns.pattern_3,3,19,17,27,+,19.093375618342822,2.1627080184008464e-07,9.338462315351347e-06,289356
pos_patterns.pattern_1,1,19,65,80,-,16.277409867284394,1.9824393758007016e-06,8.477687004383807e-06,289356
pos_patterns.pattern_0,0,19,42,62,-,7.998212742349388,0.00046303065664687844,0.0006028046287203475,289356
pos_patterns.pattern_1,1,20,155,170,-,17.83952812842261,6.021086568427931e-07,4.102440634390651e-06,216387
pos_patterns.pattern_0,0,20,100,121,-,13.974612045939448,1.2914289982290952e-05,9.743451959580222e-05,216387
pos_patterns.pattern_3,3,20,78,86,-,11.960859442436195,3.153241719815092e-05,0.0001739102310972254,216387
pos_patterns.pattern_5,5,21,68,98,+,21.020032169809106,4.5994909055047053e-08,2.6958127251708135e-06,17316
pos_patterns.pattern_2,2,23,111,135,-,15.348260246150666,3.131411947051957e-06,5.9344075191692106e-05,211686
pos_patterns.pattern_0,0,23,83,97,-,9.06596285094805,0.00029602724498545237,0.00046246594935242535,211686
pos_patterns.pattern_3,3,23,65,73,+,8.09166115526478,0.00019017347870564448,0.0004894327123896675,211686
pos_patterns.pattern_0,0,24,19,30,+,12.211797655564617,4.693138453149003e-05,0.00014775207118333136,62390
pos_patterns.pattern_0,0,24,73,84,-,9.126737357180435,0.00028276149805606067,0.00044929372820453847,62390
pos_patterns.pattern_0,0,24,44,55,+,6.762627676532607,0.0007115404005162416,0.0007962150738982127,62390
pos_patterns.pattern_0,0,25,150,163,-,13.381292286826113,2.2105475181888323e-05,0.00011295809748322695,286195
pos_patterns.pattern_0,0,25,180,193,-,12.418842844246193,4.129025819565873e-05,0.00013943887614995231,286195
pos_patterns.pattern_5,5,25,238,248,+,9.74417517986813,5.681702596461484e-05,0.0002309902211663535,286195
pos_patterns.pattern_4,4,25,202,232,+,7.716361338735265,0.0001640035047178713,0.00032523901779493464,286195
pos_patterns.pattern_1,1,27,115,140,+,11.678891095083152,3.165933621830642e-05,7.370637522924438e-05,219904
pos_patterns.pattern_2,2,28,110,129,+,13.94218332678678,1.237227935554921e-05,9.30315586380168e-05,281721
pos_patterns.pattern_3,3,30,8,17,+,17.765804627369484,7.252166316206616e-07,1.8692828688508073e-05,8240
pos_patterns.pattern_5,5,30,102,132,-,16.981060759338522,1.3986244980198133e-06,1.954369331670075e-05,8240
pos_patterns.pattern_3,3,32,120,140,+,18.29429295716625,4.662630696192215e-07,1.4908614099470298e-05,211018
pos_patterns.pattern_5,5,33,131,147,-,10.694563043352852,3.8776144842425356e-05,0.0001729760372463372,213189
pos_patterns.pattern_1,1,33,90,110,+,8.786697618037293,0.00013070823678785687,0.00024008075149492588,213189
pos_patterns.pattern_0,0,34,215,239,-,12.439865261215965,4.129025819565873e-05,0.00013943887614995231,49081
pos_patterns.pattern_0,0,35,128,148,+,10.37537404988808,0.00015059609631862242,0.0003112384033810266,5610
pos_patterns.pattern_0,0,35,90,108,+,9.440094455787946,0.0002448494433338054,0.0004185019936299824,5610
pos_patterns.pattern_1,1,37,215,232,-,7.049047823431387,0.00027558083722191803,0.00043982385768655735,223538
pos_patterns.pattern_0,0,38,138,146,-,13.804565481323884,1.4283830751082863e-05,9.935163406365987e-05,19850
pos_patterns.pattern_0,0,38,5,21,-,12.328947978258624,4.402844206197189e-05,0.00014391151831978885,19850
pos_patterns.pattern_0,0,38,119,129,-,9.246984439232023,0.0002698049520404308,0.0004401575063432416,19850
pos_patterns.pattern_0,0,39,115,138,+,15.048697673247839,2.68044277618174e-06,9.5291060211645e-05,220734
pos_patterns.pattern_0,0,39,101,110,-,12.581295323127533,3.870368345815225e-05,0.00013660248872709432,220734
pos_patterns.pattern_3,3,40,60,78,-,19.144836141683726,1.9532450162840196e-07,9.136846131728581e-06,212495
pos_patterns.pattern_2,2,40,146,156,-,15.567241508119654,2.503818601311791e-06,5.3058192360525436e-05,212495
pos_patterns.pattern_0,0,40,94,101,+,15.120086656053711,2.204810698458463e-06,9.5291060211645e-05,212495
pos_patterns.pattern_4,4,42,85,99,+,13.946070842311823,1.1100950873156284e-05,4.269596489675494e-05,242913
pos_patterns.pattern_0,0,42,66,74,+,11.432252355375681,7.770328193146271e-05,0.0002023187767058345,242913
pos_patterns.pattern_0,0,44,112,135,+,13.238129589801432,2.3870488803368065e-05,0.0001167669295926769,19460
pos_patterns.pattern_2,2,44,90,101,+,8.016841684563941,0.00034580815176376016,0.0005356005327317781,19460
pos_patterns.pattern_3,3,45,10,40,-,19.064917607210102,2.1627080184008464e-07,9.338462315351347e-06,231631
pos_patterns.pattern_0,0,45,66,75,+,9.205180948690304,0.0002698049520404308,0.0004401575063432416,231631
pos_patterns.pattern_5,5,46,124,148,+,20.077995530926255,1.2475057473409343e-07,4.538339873947192e-06,67932
pos_patterns.pattern_2,2,46,175,190,+,11.768701485814413,6.140546640449541e-05,0.00019824950441672966,67932
pos_patterns.pattern_0,0,47,121,131,-,15.006246150843571,2.68044277618174e-06,9.5291060211645e-05,219928
